ind,origin,destination,flow
349,m23,m08,6.0
350,m15,m12,10.0
351,q00,u11,13.0
352,t01,i04,6.0
353,f03,g01,285.0
354,m10,m19,32.0
355,f07,r26,74.0
356,v07,v04,129.0
357,g00,g07,103.0
358,e13,i03,12.0
359,m11,m07,522.0
360,f18,f18,25525.0
361,m30,m26,278.0
362,n15,k08,10.0
363,b00,b09,47.0
364,g10,g10,122504.0
365,a06,a01,81.0
366,a02,h08,57.0
367,a06,a09,86.0
368,t01,i03,4.0
369,h02,u08,19.0
370,s09,p09,13.0
371,f10,g01,66.0
372,r26,r03,21.0
373,m18,n16,16.0
374,r01,r12,32.0
375,d00,m07,87.0
376,m17,m24,572.0
377,k13,p09,27.0
378,h10,q02,462.0
379,p25,p03,60.0
380,u26,u13,1026.0
381,i16,e12,14.0
382,m29,m21,3.0
383,i06,e12,14.0
384,n01,k04,24.0
385,k07,k07,91753.0
386,u28,a02,27.0
387,t02,t00,1279.0
388,b05,b04,203.0
389,u13,u00,10.0
390,f01,f01,83039.0
391,m11,m26,3.0
392,r28,r04,36.0
393,l06,m16,44.0
394,f17,r18,8.0
395,p03,p12,96.0
396,k14,n17,1.0
397,v08,v07,244.0
398,h11,a00,44.0
399,o09,o12,618.0
400,n08,m20,37.0
401,g06,g02,628.0
402,g08,g03,672.0
403,p14,k13,19.0
404,h06,h00,7528.0
405,k18,k07,144.0
406,h00,u04,8.0
407,l02,l01,1531.0
408,i00,t02,1623.0
409,t04,s08,3.0
410,p01,k03,1.0
411,h06,h09,7000.0
412,k06,n11,81.0
413,p17,t02,373.0
414,i08,p19,51.0
415,g03,g00,1115.0
416,p03,p06,65.0
417,u07,u00,1.0
418,u15,u01,1238.0
419,v12,v05,469.0
420,p17,p18,87.0
421,m14,m05,4.0
422,u18,u15,483.0
423,n12,n04,606.0
424,v03,a03,41.0
425,v01,v06,1246.0
426,h09,u27,38.0
427,a02,a03,351.0
428,u22,a03,556.0
429,s08,s07,1225.0
430,m17,m18,42.0
431,n01,k00,1.0
432,f17,f23,5.0
433,r01,r07,74.0
434,g00,f10,25.0
435,m20,n15,135.0
436,f15,f17,28.0
437,e11,e01,4.0
438,p08,k02,3.0
439,a04,a01,5129.0
440,l03,m29,1051.0
441,f08,g02,123.0
442,s12,s05,278.0
443,f00,m00,2.0
444,q03,u02,1279.0
445,i15,p19,465.0
446,p12,p11,114.0
447,p01,p06,709.0
448,m09,f03,11.0
449,m16,l01,150.0
450,m27,m12,552.0
451,s00,i08,11.0
452,k08,k01,22.0
453,t07,t04,692.0
454,i04,t06,510.0
455,r25,f19,1.0
456,i12,i07,629.0
457,s06,p14,3.0
458,f00,m22,77.0
459,u05,u08,40.0
460,e05,i06,32.0
461,f18,r08,3.0
462,f04,f17,31.0
463,u17,u17,292275.0
464,v10,v04,12.0
465,m16,m09,429.0
466,f18,g05,483.0
467,c06,c03,7.0
468,m07,m08,152.0
469,f04,f08,26.0
470,m24,m26,509.0
471,v01,a11,373.0
472,r27,r13,19.0
473,u17,u18,1241.0
474,f20,g08,120.0
475,q06,u06,10.0
476,n01,n02,11.0
477,f12,f13,45.0
478,m06,m07,39.0
479,i20,i10,22.0
480,u19,h01,159.0
481,m26,m05,3.0
482,u18,h05,9939.0
483,g05,r27,3.0
484,i05,t02,2099.0
485,k04,p20,3.0
486,h07,u14,255.0
487,r19,r24,14.0
488,h00,u13,1441.0
489,m09,m10,208.0
490,p17,p06,67.0
491,h04,u17,933.0
492,a02,a02,66971.0
493,t05,s08,2.0
494,r29,r16,185.0
495,h01,q05,270.0
496,f00,r30,6.0
497,k15,p23,2.0
498,f11,m22,306.0
499,i00,p19,284.0
500,i14,p19,141.0
501,p11,p02,106.0
502,l05,l03,2067.0
503,m27,m10,9.0
504,u28,a01,996.0
505,u22,q00,50.0
506,n04,n00,12.0
507,i09,i04,991.0
508,i20,t05,52.0
509,k16,k06,7.0
510,n06,n10,174.0
511,f20,l06,5.0
512,f18,f11,8.0
513,a07,a09,331.0
514,m05,m08,3.0
515,n16,n15,214.0
516,k04,p08,4.0
517,m06,m08,10.0
518,k17,k08,46.0
519,t06,e05,3.0
520,a10,v07,188.0
521,h10,u24,310.0
522,g00,m22,246.0
523,p06,p09,31.0
524,k18,p10,2.0
525,e02,e06,523.0
526,v12,a08,49.0
527,f08,f06,193.0
528,q00,h06,513.0
529,d01,n16,41.0
530,m27,l03,126.0
531,m21,n15,5.0
532,h11,u20,72.0
533,e10,e17,3.0
534,m19,m30,21.0
535,r24,f08,19.0
536,k04,p11,11.0
537,r03,g10,67.0
538,r32,g08,38.0
539,r09,r23,3.0
540,u08,u23,26.0
541,k13,k05,76.0
542,u12,h00,26.0
543,f13,f07,169.0
544,a04,a02,530.0
545,r03,r16,395.0
546,k16,n04,111.0
547,b06,b03,949.0
548,r21,r03,1.0
549,t01,i00,54.0
550,f06,r27,8.0
551,p13,p15,1.0
