ind,origin,destination,flow
152,台南縣西港鄉,台南縣山上鄉,12.0
153,台中市南區,台中市北區,1440.0
154,嘉義縣新港鄉,雲林縣褒忠鄉,3.0
155,嘉義縣中埔鄉,高雄縣三民鄉,3.0
156,屏東縣鹽埔鄉,高雄市楠梓區,60.0
157,台北縣石門鄉,台北縣金山鄉,123.0
158,苗栗縣造橋鄉,苗栗縣頭屋鄉,51.0
159,台北縣三峽鎮,台北市中正區,570.0
160,台南縣下營鄉,嘉義縣鹿草鄉,4.0
161,屏東縣萬巒鄉,屏東縣新埤鄉,22.0
162,嘉義市東區,雲林縣北港鎮,166.0
163,台北市松山區,台北縣石門鄉,10.0
164,台北市萬華區,台北縣板橋市,2988.0
165,苗栗縣造橋鄉,苗栗縣後龍鎮,257.0
166,台北市萬華區,台北縣五股鄉,548.0
167,彰化縣花壇鄉,台中縣清水鎮,19.0
168,台東縣大武鄉,台東縣達仁鄉,32.0
169,台南縣新營市,台南縣將軍鄉,7.0
170,高雄市左營區,高雄市苓雅區,3224.0
171,嘉義縣新港鄉,嘉義縣大林鎮,61.0
172,雲林縣莿桐鄉,彰化縣溪湖鎮,8.0
173,苗栗縣造橋鄉,苗栗縣南庄鄉,1.0
174,台中縣石岡鄉,台中縣清水鎮,17.0
175,高雄市楠梓區,高雄縣大寮鄉,518.0
176,台北縣三芝鄉,台北市文山區,27.0
177,雲林縣二崙鄉,彰化縣溪湖鎮,14.0
178,南投縣南投市,彰化縣永靖鄉,6.0
179,台中縣神岡鄉,台中縣清水鎮,517.0
180,苗栗縣三灣鄉,苗栗縣南庄鄉,39.0
181,台北縣泰山鄉,台北縣深坑鄉,19.0
182,彰化縣花壇鄉,台中縣大雅鄉,29.0
183,高雄縣鳳山市,高雄市鹽埕區,1397.0
184,宜蘭縣五結鄉,宜蘭縣蘇澳鎮,1016.0
185,台北縣土城市,桃園縣龍潭鄉,236.0
186,雲林縣台西鄉,彰化縣竹塘鄉,3.0
187,台北縣坪林鄉,台北縣石碇鄉,3.0
188,高雄縣桃源鄉,台東縣海端鄉,5.0
189,台北市中正區,台北縣八里鄉,47.0
190,高雄縣仁武鄉,高雄縣旗山鎮,136.0
191,台北縣三重市,台北縣汐止市,675.0
192,基隆市中山區,台北市士林區,246.0
193,桃園縣龍潭鄉,桃園縣平鎮市,3812.0
194,台中縣新社鄉,台中縣大里市,145.0
195,台中縣外埔鄉,苗栗縣銅鑼鄉,7.0
196,台東縣卑南鄉,台東縣金峰鄉,10.0
197,桃園縣桃園市,台北縣新莊市,1068.0
198,台中縣大雅鄉,南投縣草屯鎮,87.0
199,新竹縣湖口鄉,桃園縣中壢市,871.0
200,台北縣新店市,桃園縣桃園市,523.0
201,台中市北屯區,南投縣南投市,213.0
202,台北市松山區,台北縣八里鄉,56.0
203,台南縣麻豆鎮,台南縣龍崎鄉,2.0
204,台南縣柳營鄉,台南縣後壁鄉,68.0
205,高雄市鹽埕區,高雄市鹽埕區,22698.0
206,彰化縣溪州鄉,雲林縣土庫鎮,6.0
207,高雄縣橋頭鄉,台南市中區,24.0
208,高雄縣梓官鄉,高雄市左營區,800.0
